file_id,target_entity,condition,deepgram_transcript,deepgram_latency_s,deepgram_err,deepgram_wer,sarvam_transcript,sarvam_latency_s,sarvam_err,sarvam_wer,groq_whisper_transcript,groq_whisper_latency_s,groq_whisper_err,groq_whisper_wer
Banshankari.wav,Banashankari,Traffic,,2.565,False,1.0,"हां सर, मेरा लोकेशन बांचेंगिरी टॉर्ट से जुतारा है।",1.638,False,1.0, ಹಾಸರು ಮಿರ ಲೋಪಿಷನ್ ಬಂಚಂಗರಿ ತರ್ತ್ರೆಯದು ಕಾರಾ?,1.227,False,1.0
Bellandur.wav,Bellandur,Traffic,"Yes, sir. I am near, Belindur Central Mall. There are some blocked traffic traffic",3.358,False,0.6875,"यस सर, आई एम नियर बेलंदूर सेंट्रल मॉल। रास्ता ब्लॉक्ड है सर। आगे ट्रैफिक, ट्रैफिक है देर।",1.459,False,1.0625, ನಿರ ಬಲಿಂದೂರ್ ಸಿಂರಿಲ್ ಮಾಲ್. ರಾಸ್ಟಾ ಬ್ಲಾಕ್ಟೆ ಹೊಯಿಂದು ತರಾಫಿಕ್ ತರಾಫಿಕ್ ಹೊಯಿಂದು.,2.148,False,1.0
BTM Layout.wav,BTM Layout,Clear,B t m layout second stage,2.836,False,0.8,"हाँ जी, बीटीएम ले आउट सेकंड स्टेज पहुँचने वाला हूँ। दस मिनट में पहुँच जाएगा सर।",1.392,False,1.0667," हाँ जी, Btm Layout Second Stage पहुंचने वाला हूँ, 10 मिनित में पहुंच जाएगा सर",1.116,True,0.7333
Domlur.wav,Domlur,Clear,Download flyover key pass network drop.,2.364,False,0.7778,डोमलेर फ्लाईओवर के पास नेटवर्क ड्रॉप हुआ था सर,1.403,False,1.0, Domlur Flyover के पास नेटवर्क ड्रॉप हुआ था सर,1.056,True,0.7778
Hebbal.wav,Hebbal,Traffic,"Hello, sir. Hello?",2.458,False,0.8571,"हेलो सर, अभी एयरपोर्ट फ्लाईओवर के नीचे हूं सर, आवाज आ रहा है, हेलो?",1.328,False,1.0, हेलो सर अभी एप फ्लाइवर के नीचे हुए सर आवाज आ रहा है हेलो,1.177,False,1.0
HSR layout.wav,HSR Layout,Clear,App kamni karamira hsr layout Sector six,2.537,True,0.6154,ऐप काम नहीं कर रहा मेरा एच एस आर लेआउट सेक्टर सिक्स में फँसा हूँ,1.24,False,1.1538, आप काम नहीं कर रहा मेरा HSR Layout Sector 6 में फसा हूँ,1.024,True,0.7692
Indiranagar.wav,Indiranagar,Traffic,"Pickup location, Indranagar, 100 feet road to the.",2.578,True,0.7857,"सर, ये पिकअप लोकेशन इंदिरानगर 100 फीट रोड पे दिखा रहा है, भाई है ना?",1.351,False,1.0714, सर ये पिक अप लोकेशन इंद्रानगर 100 फीट रोड पे दिखा रहा है बाही है ना,1.132,False,1.1429
Jayanagar.wav,Jayanagar,Clear,By a auto yarns Janagar 4 Block,2.557,True,0.8889,भैया ऑटो यहाँ से जयनगर फोर्ट ब्लॉक जाएगा क्या,1.262,False,1.0, बाइया यह आटो यहाँ से जैनेगर फोर्ड प्लग जाएगा क्या?,1.26,False,1.1111
Jp nagar 9th phase.wav,JP Nagar,Traffic,May be j p number nine three layout,2.389,False,0.9,मैं अभी जेपी नगर नाइंथ फ्रीज वाले लेआउट पे हूँ।,1.238,False,1.0, मैं अभी जेपी नगर 930 वाले लेयाउट पर हूँ,1.28,False,1.0
Kalyan Nagar.wav,Kalyan Nagar,Clear,Ring Road blocked check,2.52,False,0.6364,कल्याण नगर के रिंग रोड ब्लॉक्ड है क्या चेक करो आप,1.673,False,1.0, कल्यान नगर के रिंग रोड ब्लॉक्ट है क्या चेक करो आप,1.056,False,1.0
